begdate,enddate,pressconf,scheduled
3/18/1936,3/18/1936,0,1
3/19/1936,3/19/1936,0,1
5/25/1936,5/25/1936,0,1
11/19/1936,11/19/1936,0,1
11/20/1936,11/20/1936,0,1
1/26/1937,1/26/1937,0,1
3/15/1937,3/15/1937,0,1
4/3/1937,4/4/1937,0,1
5/4/1937,5/5/1937,0,1
6/9/1937,6/9/1937,0,1
9/11/1937,9/12/1937,0,1
11/29/1937,12/1/1937,0,1
2/28/1938,3/1/1938,0,1
4/21/1938,4/22/1938,0,1
4/29/1938,4/29/1938,0,1
8/2/1938,8/2/1938,0,1
9/21/1938,9/21/1938,0,1
12/30/1938,12/30/1938,0,1
3/6/1939,3/7/1939,0,1
3/20/1939,3/20/1939,0,1
4/19/1939,4/19/1939,0,1
6/20/1939,6/21/1939,0,1
9/18/1939,9/18/1939,0,1
12/13/1939,12/13/1939,0,1
3/20/1940,3/20/1940,0,1
5/27/1940,5/28/1940,0,1
9/27/1940,9/27/1940,0,1
12/18/1940,12/18/1940,0,1
3/17/1941,3/17/1941,0,1
6/10/1941,6/10/1941,0,1
9/27/1941,9/27/1941,0,1
12/12/1941,12/12/1941,0,1
2/28/1942,2/28/1942,0,1
3/2/1942,3/2/1942,0,1
5/8/1942,5/8/1942,0,1
6/22/1942,6/22/1942,0,1
8/3/1942,8/3/1942,0,1
9/28/1942,9/29/1942,0,1
12/14/1942,12/14/1942,0,1
1/25/1943,1/26/1943,0,1
3/2/1943,3/2/1943,0,1
5/15/1943,5/15/1943,0,1
6/28/1943,6/28/1943,0,1
10/18/1943,10/18/1943,0,1
2/29/1944,2/29/1944,0,1
3/1/1944,3/1/1944,0,1
5/4/1944,5/4/1944,0,1
9/21/1944,9/22/1944,0,1
12/11/1944,12/11/1944,0,1
2/28/1945,2/28/1945,0,1
3/1/1945,3/1/1945,0,1
6/20/1945,6/20/1945,0,1
10/17/1945,10/17/1945,0,1
2/28/1946,2/28/1946,0,1
3/1/1946,3/1/1946,0,1
6/10/1946,6/10/1946,0,1
10/3/1946,10/3/1946,0,1
2/27/1947,2/28/1947,0,1
3/1/1947,3/1/1947,0,1
6/5/1947,6/6/1947,0,1
10/6/1947,10/7/1947,0,1
12/9/1947,12/9/1947,0,1
2/27/1948,2/27/1948,0,1
3/1/1948,3/1/1948,0,1
5/20/1948,5/20/1948,0,1
10/4/1948,10/4/1948,0,1
11/15/1948,11/15/1948,0,1
11/30/1948,11/30/1948,0,1
2/28/1949,2/28/1949,0,1
3/1/1949,3/1/1949,0,1
5/3/1949,5/3/1949,0,1
6/28/1949,6/28/1949,0,1
8/5/1949,8/5/1949,0,1
12/13/1949,12/13/1949,0,1
2/28/1950,2/28/1950,0,1
3/1/1950,3/1/1950,0,1
6/13/1950,6/14/1950,0,1
8/18/1950,8/18/1950,0,1
9/28/1950,9/28/1950,0,1
10/11/1950,10/11/1950,0,1
10/30/1950,10/30/1950,0,1
11/27/1950,11/27/1950,0,1
1/31/1951,1/31/1951,0,1
2/6/1951,2/8/1951,0,1
3/1/1951,3/2/1951,0,1
3/8/1951,3/8/1951,0,1
5/17/1951,5/17/1951,0,1
10/4/1951,10/4/1951,0,1
11/14/1951,11/14/1951,0,1
2/29/1952,2/29/1952,0,1
3/1/1952,3/1/1952,0,1
6/19/1952,6/19/1952,0,1
9/25/1952,9/25/1952,0,1
12/8/1952,12/8/1952,0,1
3/4/1953,3/5/1953,0,1
6/11/1953,6/11/1953,0,1
9/24/1953,9/24/1953,0,1
12/15/1953,12/15/1953,0,1
3/3/1954,3/3/1954,0,1
6/23/1954,6/23/1954,0,1
9/22/1954,9/22/1954,0,1
12/7/1954,12/7/1954,0,1
1/11/1955,1/11/1955,0,1
3/2/1955,3/2/1955,0,1
5/10/1955,5/10/1955,0,1
6/22/1955,6/22/1955,0,1
7/12/1955,7/12/1955,0,1
8/2/1955,8/2/1955,0,1
8/23/1955,8/23/1955,0,1
9/14/1955,9/14/1955,0,1
9/26/1955,9/26/1955,0,0
10/4/1955,10/4/1955,0,1
10/25/1955,10/25/1955,0,1
11/16/1955,11/16/1955,0,1
11/30/1955,11/30/1955,0,0
12/8/1955,12/8/1955,0,0
12/13/1955,12/13/1955,0,1
1/10/1956,1/10/1956,0,1
1/24/1956,1/24/1956,0,1
2/15/1956,2/15/1956,0,1
3/6/1956,3/6/1956,0,1
3/27/1956,3/27/1956,0,1
4/17/1956,4/17/1956,0,1
4/18/1956,4/18/1956,0,1
5/9/1956,5/9/1956,0,1
5/23/1956,5/23/1956,0,1
6/5/1956,6/5/1956,0,1
6/26/1956,6/26/1956,0,1
7/17/1956,7/17/1956,0,1
8/7/1956,8/7/1956,0,1
8/21/1956,8/21/1956,0,1
9/11/1956,9/11/1956,0,1
9/25/1956,9/25/1956,0,1
10/16/1956,10/16/1956,0,1
11/13/1956,11/13/1956,0,1
11/27/1956,11/27/1956,0,1
12/10/1956,12/10/1956,0,1
1/8/1957,1/8/1957,0,1
1/28/1957,1/28/1957,0,1
2/18/1957,2/18/1957,0,1
3/5/1957,3/5/1957,0,1
3/26/1957,3/26/1957,0,1
4/16/1957,4/16/1957,0,1
4/24/1957,4/24/1957,0,0
5/7/1957,5/7/1957,0,1
5/28/1957,5/28/1957,0,1
6/18/1957,6/18/1957,0,1
7/9/1957,7/9/1957,0,1
