"Date","X","X.1","dt1","dr1","w11","w12","mat20","VIX","SPVXSP","SPX","macd","signal","IEF","QQQ","SPY","VIX3M","SPVXMP"
2005-12-20,11.15,12.76,24,1,0.0416666666666667,0.958333333333333,12.6969932464344,11.19,1e+09,1259.62,NA,NA,57.8243,40.95,125.83,13.39,1e+05
2005-12-21,10.175,12.59,24,0,0,1,12.59,10.81,986677116,1262.8,NA,NA,57.7561,41.13,126.03,13.19,99370.33
2005-12-22,12.48,14.18,17,16,0.941176470588235,0.0588235294117647,12.5863576939478,10.29,977943032,1268.12,NA,NA,57.9709,41.397,126.69,12.77,98552.49
2005-12-23,12.21,14.11,17,15,0.882352941176471,0.117647058823529,12.4485900453685,10.27,958934026.2,1268.66,NA,NA,58.1887,41.403,126.76,12.68,98237.6
2005-12-27,12.45,14.2,17,14,0.823529411764706,0.176470588235294,12.7762532480702,11.57,975255733.5,1256.54,NA,NA,58.3708,41.038,125.47,13.47,99054.41
2005-12-28,12.32,14.11,17,13,0.764705882352941,0.235294117647059,12.7637805574072,11.35,966112014,1258.17,NA,NA,58.2325,40.99,125.75,13.3,98647.75
2005-12-29,12.32,14.1,17,12,0.705882352941177,0.294117647058823,12.8691121317216,11.61,965890824.4,1254.42,NA,NA,58.2446,40.72,125.19,13.42,98432.75
2005-12-30,12.45,14.09,17,11,0.647058823529412,0.352941176470588,13.0523743614175,12.07,971902411,1248.29,NA,NA,58.1843,40.412,124.51,13.42,98733.44
2006-01-03,12.02,13.88,17,10,0.588235294117647,0.411764705882353,12.8186096336996,11.14,946769632.3,1268.8,NA,NA,58.3206,41.31,126.7,12.77,98050.27
2006-01-04,11.84,13.84,17,9,0.529411764705882,0.470588235294118,12.8201018624934,11.37,938391140,1273.46,NA,NA,58.3862,41.74,127.3,12.84,97334.89
2006-01-05,11.83,13.73,17,8,0.470588235294118,0.529411764705882,12.8708683833367,11.31,933812160.9,1273.48,NA,NA,58.3787,41.92,127.38,12.79,97418.97
2006-01-06,11.56,13.53,17,7,0.411764705882353,0.588235294117647,12.7557235135033,11,917308915.7,1285.45,NA,NA,58.2972,42.68,128.44,12.44,96794.94
2006-01-09,11.33,13.29,17,6,0.352941176470588,0.647058823529412,12.6330064886066,11.13,900408132.7,1290.15,NA,NA,58.3192,42.8499,128.77,12.5,96140.71
2006-01-10,11.22,13.04,17,5,0.294117647058824,0.705882352941176,12.5321731836854,10.86,885618659.4,1289.69,NA,NA,58.1272,42.88,128.9,12.3,95836.24
2006-01-11,11.19,12.84,17,4,0.235294117647059,0.764705882352941,12.4714195616358,10.94,874383198.8,1294.18,NA,NA,58.0043,43.21,129.31,12.61,95415.01
2006-01-12,11.3,12.99,17,3,0.176470588235294,0.823529411764706,12.7081062596235,11.2,884343125.5,1286.06,NA,NA,58.1933,43,128.8,12.7,95737.69
2006-01-13,11.32,12.95,17,2,0.117647058823529,0.882352941176471,12.7690395327227,11.23,882065672.5,1287.61,NA,NA,58.4431,42.98,128.68,12.74,96272.79
2006-01-17,11.71,13.09,17,1,0.0588235294117647,0.941176470588235,13.0128752983117,11.91,892681784.2,1282.93,NA,NA,58.544,42.7,128.33,13.25,96430.68
